review_text,review_star
"Good phone. Picture quality is good. My mom loves it. Thank u Amazon. As this was my first online mobile buy, I was hesitating firstly but it was good just like other products of Amazon.",5.0 out of 5 stars
"Very Nice phone in this budget. Amazing battery life and back color is awesome..just loved it. Very light weight , good camera, sound quality can be improved but otherwise it's good",5.0 out of 5 stars
Nice picture quality and display but fast charging missing,4.0 out of 5 stars
Excellent design,5.0 out of 5 stars
Excellent mobile for the price,5.0 out of 5 stars
Best save,5.0 out of 5 stars
I got the product few days before. It is working really well and the picture quality is awesome. Battery backup is fine. It was delivered only after two days of booking. I am really satisfied.,5.0 out of 5 stars
Worth the deal by amazon. Good value for money. Super performance,5.0 out of 5 stars
"Even the though product is rather nice, the item Enlisted in the list of things we were to get with the phone was missing. The list clearly says a headset but it has been missing from the box.",4.0 out of 5 stars
Good,4.0 out of 5 stars
Got my mobile and it's display faulty get replaced within one day after refund again that's also display faulty very worst oppo product pls don't buy this product but Amazon service is great.,1.0 out of 5 stars
"Bought by a dumb user , so only can operate simple functions",1.0 out of 5 stars
The product is not as good as i expected...,1.0 out of 5 stars
Great product in this price range,4.0 out of 5 stars
Sim is not getting detected . Such a defective product sent by Amazon. When I'm asking for refunf people are saying they can only do replacement. Pathetic service by Amazon,1.0 out of 5 stars
Its battery life is weak it's work normally for one Day not for two days and basically the price is too much without finger print sensor,3.0 out of 5 stars
"Not good,but ok,",1.0 out of 5 stars
Battery consumption is very high.. 21gb int available memory is provided only.. hangs too much,2.0 out of 5 stars
"Product received has defect in Display, even when keeping it at Full brightness in the dark, the display is not even at half.",1.0 out of 5 stars
Overall performance is slow phone,1.0 out of 5 stars
Worth for money,5.0 out of 5 stars
Battery life is awesome,4.0 out of 5 stars
"Very nice mobile batterylife and sound is awesome,but picture quality is average..but in this price mobile is awesome..thankyou amazon for such a quick and secured delivery.",5.0 out of 5 stars
Fine product,5.0 out of 5 stars
"I used it and liked it... Nice phone. I was Samsung fan, first time I am using any Oppo mobile and now I am satisfied with it. Amazon and Oppo thanks to both of you.",5.0 out of 5 stars
Excellent,5.0 out of 5 stars
I like most sound and picture quality battery yet to check because it's new phone.,5.0 out of 5 stars
U can get this device in different name in 7k. Why waste extra 4k just for name .,1.0 out of 5 stars
Okay not bad,1.0 out of 5 stars
"No dual whatsapp, noisy cameras, display is not crisp either.",2.0 out of 5 stars
Good product,4.0 out of 5 stars
"Picture quality is good in day light, just ok for night capture. Sound quality is 7/10. Battery life is pretty good for normal usage and can last for 1.5 days",4.0 out of 5 stars
Good,5.0 out of 5 stars
