review_text,review_star
Good,5.0 out of 5 stars
Good,4.0 out of 5 stars
Nice,5.0 out of 5 stars
Good,3.0 out of 5 stars
This is too gud,5.0 out of 5 stars
Good set all in one,4.0 out of 5 stars
Excellent phone ...,5.0 out of 5 stars
I like this phone..,4.0 out of 5 stars
Best phone in range,5.0 out of 5 stars
Nice mobile,5.0 out of 5 stars
Good product,5.0 out of 5 stars
Good,5.0 out of 5 stars
PERFECT,5.0 out of 5 stars
Nice look..,5.0 out of 5 stars
"Camera,charging time",2.0 out of 5 stars
Nice,4.0 out of 5 stars
Superb,5.0 out of 5 stars
Nice battery,5.0 out of 5 stars
Bettery hot hota h,1.0 out of 5 stars
Headset nahin diya,3.0 out of 5 stars
Product is to good,4.0 out of 5 stars
Nice phone,3.0 out of 5 stars
Nice phone,4.0 out of 5 stars
Ok,4.0 out of 5 stars
Good battery backup,5.0 out of 5 stars
Ok,4.0 out of 5 stars
Takes time to charge,4.0 out of 5 stars
Sound quality is good,4.0 out of 5 stars
Not got earphones,1.0 out of 5 stars
I like it,5.0 out of 5 stars
Very good,5.0 out of 5 stars
Excellent,5.0 out of 5 stars
NYC phone,4.0 out of 5 stars
Avearage,2.0 out of 5 stars
Apps not support,5.0 out of 5 stars
Nice one,4.0 out of 5 stars
All good,5.0 out of 5 stars
Average phone money,3.0 out of 5 stars
Charging very late,5.0 out of 5 stars
VERY GOOD,5.0 out of 5 stars
Nice,5.0 out of 5 stars
Quality is good,5.0 out of 5 stars
Good product,4.0 out of 5 stars
No finger print,5.0 out of 5 stars
Very Nice Phone,5.0 out of 5 stars
Clarity is good,1.0 out of 5 stars
Like it,5.0 out of 5 stars
Excellent,5.0 out of 5 stars
Good phone overall,5.0 out of 5 stars
Way my earphone,5.0 out of 5 stars
Good.......,5.0 out of 5 stars
Thik thak h bs,3.0 out of 5 stars
Battery mast h,5.0 out of 5 stars
Heating mobile,3.0 out of 5 stars
Better,4.0 out of 5 stars
better,4.0 out of 5 stars
Good battery life,4.0 out of 5 stars
***** good phone,5.0 out of 5 stars
Good one,5.0 out of 5 stars
It is fabulous,5.0 out of 5 stars
Good products,5.0 out of 5 stars
Awesome phone,5.0 out of 5 stars
Super,5.0 out of 5 stars
Super,5.0 out of 5 stars
Very good,5.0 out of 5 stars
V super,5.0 out of 5 stars
good product,4.0 out of 5 stars
Waste mobile,1.0 out of 5 stars
Good product,4.0 out of 5 stars
Nice product,5.0 out of 5 stars
Battery life,4.0 out of 5 stars
Awesome ....,5.0 out of 5 stars
Battery Life,4.0 out of 5 stars
Awesome oppo,5.0 out of 5 stars
Good looking,3.0 out of 5 stars
Good,5.0 out of 5 stars
GOOD,5.0 out of 5 stars
Good,4.0 out of 5 stars
Good,5.0 out of 5 stars
Good,5.0 out of 5 stars
Nice,4.0 out of 5 stars
Good,5.0 out of 5 stars
Good,5.0 out of 5 stars
Good,3.0 out of 5 stars
Good,5.0 out of 5 stars
Good,4.0 out of 5 stars
Good,5.0 out of 5 stars
Durable battery nice,5.0 out of 5 stars
Better battery life,5.0 out of 5 stars
Liked,4.0 out of 5 stars
It's good,5.0 out of 5 stars
It is hanging,1.0 out of 5 stars
Dislike ASR,4.0 out of 5 stars
Nice mobile,5.0 out of 5 stars
Ghg,5.0 out of 5 stars
Nice product,4.0 out of 5 stars
super moblie,5.0 out of 5 stars
No any,4.0 out of 5 stars
good phone,4.0 out of 5 stars
Good phone,5.0 out of 5 stars
👍,3.0 out of 5 stars
Ok,4.0 out of 5 stars
Ok,4.0 out of 5 stars
A phone good,3.0 out of 5 stars
nice product,4.0 out of 5 stars
Well & good,5.0 out of 5 stars
Thanks,3.0 out of 5 stars
Very poor,2.0 out of 5 stars
Very good,5.0 out of 5 stars
Very nice,5.0 out of 5 stars
Awesome phone,5.0 out of 5 stars
Very good phone,5.0 out of 5 stars
Simply it's good.,5.0 out of 5 stars
Nice phone,4.0 out of 5 stars
Nice product,5.0 out of 5 stars
Nice phn,4.0 out of 5 stars
Not good,1.0 out of 5 stars
Exsilant,5.0 out of 5 stars
All well,5.0 out of 5 stars
Gud mobile,5.0 out of 5 stars
Best mobile,5.0 out of 5 stars
Ok,4.0 out of 5 stars
Good,5.0 out of 5 stars
Perfect,5.0 out of 5 stars
No hang,5.0 out of 5 stars
Like it,4.0 out of 5 stars
Like it,5.0 out of 5 stars
Good,4.0 out of 5 stars
I like it,4.0 out of 5 stars
I like,5.0 out of 5 stars
Awesome mobile,5.0 out of 5 stars
All ok.,4.0 out of 5 stars
Awesome,5.0 out of 5 stars
Nice mobile,4.0 out of 5 stars
Super,5.0 out of 5 stars
Super,5.0 out of 5 stars
Dislike,1.0 out of 5 stars
Supab item,5.0 out of 5 stars
Good,5.0 out of 5 stars
Nice,5.0 out of 5 stars
Good,5.0 out of 5 stars
Nice,5.0 out of 5 stars
Good,4.0 out of 5 stars
Nice,5.0 out of 5 stars
Good,5.0 out of 5 stars
Like,4.0 out of 5 stars
Good,5.0 out of 5 stars
good,5.0 out of 5 stars
👍🏼,4.0 out of 5 stars
Good,5.0 out of 5 stars
Good,5.0 out of 5 stars
Good,5.0 out of 5 stars
Like,4.0 out of 5 stars
Good,5.0 out of 5 stars
Good,4.0 out of 5 stars
Good,4.0 out of 5 stars
Good,4.0 out of 5 stars
Good,2.0 out of 5 stars
Nice,4.0 out of 5 stars
Fantastic,5.0 out of 5 stars
Nice,4.0 out of 5 stars
Vhn,5.0 out of 5 stars
Box opened,1.0 out of 5 stars
Ok,5.0 out of 5 stars
No,5.0 out of 5 stars
No,1.0 out of 5 stars
Dislike,5.0 out of 5 stars
Very nice,5.0 out of 5 stars
Awesome,5.0 out of 5 stars
Very good,3.0 out of 5 stars
Good,4.0 out of 5 stars
no,4.0 out of 5 stars
Amazing phone,4.0 out of 5 stars
Like,4.0 out of 5 stars
Mast,5.0 out of 5 stars
Mast,4.0 out of 5 stars
Nice,3.0 out of 5 stars
Super,4.0 out of 5 stars
Good,3.0 out of 5 stars
Like,5.0 out of 5 stars
Nice phone,5.0 out of 5 stars
All,5.0 out of 5 stars
"The Phone has a great Camera, Big Screen, a good processor and a nice video, audio quality and better overall standards considering its price. The delivery by amazon was also prompt and safe. But unlike the other phones, the earphones were not included in Box.",4.0 out of 5 stars
"Phone is nice. Good battery backup and nice camera. Screen is HD+ but it's fine by me. Dedicated memory card slot to increase the storage, great work done by oppo. However it does not support fast charging and it takes a lot of time to charge. Overall it's a nice phone in this range.",4.0 out of 5 stars
Amazing mobile,5.0 out of 5 stars
Nice phone in this range.,5.0 out of 5 stars
Pros,4.0 out of 5 stars
Picture quality good sound quality verry good,4.0 out of 5 stars
Awesome battery backup,5.0 out of 5 stars
little over priced,4.0 out of 5 stars
Lack of fingerprint sensor. Otherwise fine. A bit high price when compared to other brands,4.0 out of 5 stars
"The processor is good, battery life is awsome, camera is really good then what I was expecting, features in it are good for the price which is offered, rich look oppo did good job in copying iphone X look. Overall phone is best, Loved it.",4.0 out of 5 stars
"Two days Fast delivery service to berhampur,odisha.Beautiful design, strong battary life, no legs even 2gb ram, camera quality ok in this price point view. Value for money",4.0 out of 5 stars
Amazing phone with super longer battery power... all is super well but not getting oppo Headphone in packing assessries.. it was deeply hurt to missing headphone..,5.0 out of 5 stars
Phone could be good. Performance is very good. But it is very heavy and not ergonomically designed. My fingers are paining while using it. You can simply return as that’s the policy. Unless there is any fault with the product one can’t return.,2.0 out of 5 stars
Very good mobile in all respect nothing to say negative only minor point if it has a physical notification led then it would be super in all aspects.,5.0 out of 5 stars
Thank u give me a best quality,5.0 out of 5 stars
Good phone.inside no headphone.,5.0 out of 5 stars
Phone is good. And also delivery was good. But I am not happy with one thing. in product description is mentioned Headset with the phone. but I did not get any Headset with this phone.,4.0 out of 5 stars
Nice phone,5.0 out of 5 stars
