review_text,review_star
"The phone is in good condition physically, but the ear speaker doesn’t work. Phone has to be used on speaker phone when talking or else you can’t hear anything... it’s rather inconveniencing.",1.0 out of 5 stars
Thumb print to open apps is great. One button to view emails is terrible. Steep learning curve. Whatever happened to operating manuals?,5.0 out of 5 stars
After 3 month it started to doesn't charge. Before ıts performance wasn't good also. I'm really disappointed.,1.0 out of 5 stars
"The phone is huge first off. A total difference from my 6s. When it arrived and I took it out the box it looked brand freakin new. It even came with an apple branded charging brick, and it delivered on the expected delivery date!!! I’m so happy I got my new phone!!! If you ever need to buy a new phone, You know who to trust!",5.0 out of 5 stars
Had this phone for about a month and works fine so far- But the screen came with some scratches even though it was a ‘new certified refurbished’,3.0 out of 5 stars
The phone did not work it had no entena. But I got a refund 👍🏻,1.0 out of 5 stars
The phone looks brand new with no scratches I transferred from my Apple 5 sim card to the six plus with ease So far so good with Kanga,5.0 out of 5 stars
They really care about everything. The phone is perfect but the charger broken with one week. They gave me a discount because I couldn't receive this on time. Thanks!,5.0 out of 5 stars
I got the 16 gb version even though it was listed as a 64 gb version. Phone looks brand new though,3.0 out of 5 stars
"Got our daughter this for Christmas and have had so many issues with it, long story short, it is getting sent back. Didn't even wanna give it 1 star.",1.0 out of 5 stars
Great phone and came very early. Thanks!,5.0 out of 5 stars
Great phone. Worked really well. It looked brand new when I took it out of the box. I used the phone on straight talk and never had a problem with it.,5.0 out of 5 stars
The product sold to me by MyWit is an absolute joke. It says certified refurbished when the charger port isn't even compatible nor does it work. I was ready for scratches and things and such but you can't even turn the phone on. I would like a full refund,1.0 out of 5 stars
Looks like new I love this phone. Big phone for small hands.,5.0 out of 5 stars
Very happy with this phone.,5.0 out of 5 stars
I've had some issues with the phone being refurbished and all but it will work for now.,3.0 out of 5 stars
Super fast shipping and great phone so far! Was a bit skeptical about buying on here but phone is in perfect condition and was easy to set up with my T-Mobile sim.,5.0 out of 5 stars
Ordered 2 last week arrived in perfect condition,5.0 out of 5 stars
"Before I ordered this phone, i was worried sbout the conditions of the phone n accessories for the phone. However, i ordered it and i am really realy please with this phones condition n functionality.",4.0 out of 5 stars
I ordered a iPhone 6s Plus with 64gb storage and got one with 16gb storage instead. Didn't even realize till it started telling me that my storage is full.,1.0 out of 5 stars
"The delivery, this phone according with my expectations... high recommend",4.0 out of 5 stars
purchased this phone for my grandaughter.  she is completely satisfied. thanks amazon.,5.0 out of 5 stars
"I’ve had my refurbished phone for a few months now and it still runs perfect, great buy! I will never buy a new phone again!",5.0 out of 5 stars
"I love this phone its very great and  I will buy again. I did chose a 16gb but they sent me a 32gb which was very generous of them, and the phone came with a glass screen  installed already and the phone didn't have any visible damage which was a huge plus.",5.0 out of 5 stars
